id,Address,found_address,coordinates
368,"մարշալ բաբաջանյան փողոց, երևան","Armenia, Yerevan, Marshal Babajanyan Street","40.219861,44.572617"
369,"մազմանյան փողոց, երևան","Armenia, Yerevan, Mazmanyan Street","40.208959,44.465259"
372,"ագաթանգեղոսի փողոց, երևան","Armenia, Yerevan, Agatangeghos Street","40.172364,44.511325"
376,"արգիշտիի փողոց 7/4, երևան","Armenia, Yerevan, Argishti Street, 7/4","40.170896,44.503689"
377,"հանրապետության փողոցի 2-րդ նրբանցք, երևան","Armenia, Yerevan, Hanrapetutyan Street 2nd Lane","40.178765,44.519769"
380,"արզումանյան փողոց, երևան","Armenia, Yerevan, Arzumanyan Street","40.193137,44.473497"
383,"ծիծեռնակաբերդի խճուղի , երևան","Armenia, Yerevan, Tsitsernakaberd Highway","40.181652,44.484833"
384,"բաշինջաղյան փողոց 2-րդ նրբանցք, երևան","Armenia, Yerevan, Bashinjaghyan Street 2nd Lane","40.205481,44.465591"
388,"լվովյան փողոց, երևան","Armenia, Yerevan, Lvovyan Street","40.201066,44.558729"
390,"մառի փողոցի նրբանցք, երևան","Armenia, Yerevan, Mar Street Lane","40.186882,44.567011"
394,"լյուքսեմբուրգի փողոց, երևան","Armenia, Yerevan, Lyuksemburg Street","40.189224,44.560669"
395,"շևչենկոյի փողոց, երևան","Armenia, Yerevan, Shevchenko Street","40.15572,44.484025"
396,"բագրատունյաց փողոց, երևան","Armenia, Yerevan, Bagratunyats Street","40.15188,44.482219"
397,"melkumov srteet, yerevan","Armenia, Yerevan, Melkumov Street","40.214841,44.47126"
400,"արմեն գուլակյան փողոց, երևան","Armenia, Yerevan, Armen Gulakyan Street","40.196947,44.501919"
407,"տերյան փողոց, երևան","Armenia, Yerevan, Teryan Street","40.186186,44.518457"
408,"զորավար անդրանիկի փողոց 63, երևան","Armenia, Yerevan, Zoravar Andranik Street, 63","40.176147,44.44732"
411,"փավստոս բուզանդի փողոց, երևան","Armenia, Yerevan, Pavstos Buzand Street","40.178193,44.514442"
414,"շոպրոնի փողոց , երևան","Armenia, Yerevan, Shopron Street","40.186289,44.55881"
418,"հովհաննես շիրազի փողոց, երևան","Armenia, Yerevan, Shiraz Street","40.204717,44.461549"
419,"ռոստոմի փողոց, երևան","Armenia, Yerevan, Rostom Street","40.164487,44.519158"
421,"հունան ավետիսյան փողոց, երևան","Armenia, Yerevan, Hunan Avetisyan Street","40.177601,44.565295"
427,"պարոնյան փողոց 7, երևան","Armenia, Yerevan, Paronyan Street, 7","40.178669,44.501892"
431,"ադմիրալ իսակովի պողոտա 52/1, երևան","Armenia, Yerevan, Tsovakal Isakov Avenue, 52/1",
432,"հովսեփ արղության փողոց, երևան","Armenia, Yerevan,  Atlantis Yerevan Residential Complex","40.212059,44.50615"
443,"քաջազնունու փողոց, երևան","Armenia, Yerevan, Kajaznuni Street","40.168622,44.520281"
447,"ռոստովյան փողոց, երևան","Armenia, Yerevan, Rostovyan Street","40.150502,44.516481"
450,"հալաբյան փողոց 23, երևան","Armenia, Yerevan, Halabyan Street, 23","40.195114,44.478572"
