Type,New_building,nFloor,Floor,Height,Sqm,Rooms,Bathrooms,Renovation,Balcony,District,Price_USD
1,0,9,3,2.75,96,3,1,2.0,3,Դավթաշեն,145000.0
1,0,16,15,2.8,61,2,1,1.5,0,Աջափնյակ,77000.0
1,0,9,5,2.8,31,2,1,2.0,1,Դավթաշեն,68000.0
1,0,12,6,2.75,51,2,1,2.0,1,Կենտրոն,155000.0
1,0,4,2,2.8,73,3,1,1.5,2,Շենգավիթ,90000.0
2,1,20,8,3.0,104,3,1,2.0,2,Արաբկիր,230000.0
2,1,16,4,3.0,59,2,1,0.0,2,Աջափնյակ,109512.0
2,1,16,11,3.0,111,4,2,1.5,2,Արաբկիր,245098.0
0,0,5,5,3.0,53,3,2,4.0,1,Կենտրոն,200000.0
0,0,4,2,3.5,103,3,1,0.5,0,Կենտրոն,250000.0
2,0,10,3,3.0,69,3,1,2.0,0,Կենտրոն,245000.0
0,0,2,1,3.0,55,2,1,1.5,1,Էրեբունի,62000.0
1,0,9,4,2.75,96,4,1,4.0,0,Մալաթիա-Սեբաստիա,155000.0
0,0,5,4,3.0,100,4,1,1.5,3,Արաբկիր,135000.0
2,1,14,10,2.8,120,4,2,2.0,3,Աջափնյակ,194000.0
1,0,9,9,2.8,88,4,2,2.0,2,Մալաթիա-Սեբաստիա,105000.0
0,0,4,3,3.2,81,3,1,1.0,3,Կենտրոն,210000.0
1,0,14,11,2.8,92,3,1,2.0,3,Դավթաշեն,160000.0
1,0,14,12,2.75,120,4,2,2.0,0,Ավան,153000.0
1,0,9,9,2.75,66,2,1,0.0,0,Նոր Նորք,85000.0
1,0,16,14,2.75,90,3,1,1.5,1,Քանաքեռ-Զեյթուն,166000.0
2,1,7,6,3.0,43,2,1,4.0,3,Քանաքեռ-Զեյթուն,155000.0
2,1,17,7,3.0,101,3,3,2.0,2,Կենտրոն,550000.0
1,0,4,4,2.7,58,2,1,2.0,0,Նոր Նորք,76000.0
2,1,18,8,3.0,72,2,1,2.0,2,Արաբկիր,158000.0
0,0,5,2,3.2,138,3,2,2.0,2,Կենտրոն,450000.0
0,0,4,3,3.2,100,3,1,0.5,2,Կենտրոն,315000.0
1,0,14,6,2.7,82,3,1,2.0,1,Մալաթիա-Սեբաստիա,118000.0
1,0,14,11,2.8,105,3,1,1.5,0,Շենգավիթ,157000.0
1,0,9,1,2.75,67,2,2,1.0,0,Մալաթիա-Սեբաստիա,81000.0
2,1,3,1,3.5,30,2,1,0.0,1,Արաբկիր,23988.0
1,0,11,6,2.8,90,3,2,0.5,2,Կենտրոն,235000.0
2,0,14,9,2.8,105,3,2,0.5,2,Աջափնյակ,103000.0
0,1,4,3,2.75,56,2,1,0.5,0,Աջափնյակ,72000.0
2,1,18,18,3.0,110,3,2,2.0,3,Դավթաշեն,250000.0
2,1,3,2,3.0,141,3,2,2.0,2,Կենտրոն,470000.0
2,1,14,2,3.0,53,2,1,3.0,2,Քանաքեռ-Զեյթուն,107000.0
1,0,9,9,2.75,39,2,1,2.0,1,Նոր Նորք,72000.0
2,1,6,6,3.0,72,2,1,4.0,2,Արաբկիր,210000.0
2,1,14,4,3.0,78,2,1,2.0,2,Կենտրոն,230000.0
0,0,2,2,3.0,137,5,1,2.0,2,Էրեբունի,145000.0
0,0,5,5,2.8,45,2,1,2.0,2,Էրեբունի,67000.0
0,0,5,5,3.2,64,2,1,4.0,2,Կենտրոն,240000.0
2,1,13,7,3.0,127,3,2,0.0,2,Քանաքեռ-Զեյթուն,229000.0
0,0,4,2,3.0,87,3,1,1.5,2,Կենտրոն,250000.0
0,0,4,2,3.0,57,2,1,1.5,0,Կենտրոն,140000.0
0,0,5,3,2.8,78,3,1,2.0,2,Ավան,120000.0
1,0,16,8,3.0,60,3,1,2.0,1,Կենտրոն,130000.0
0,0,4,4,3.0,36,1,1,0.5,2,Արաբկիր,83000.0
2,1,14,8,3.2,65,3,1,0.0,2,Շենգավիթ,115900.0
2,1,14,13,3.0,65,2,1,2.0,2,Շենգավիթ,147000.0
2,1,10,8,3.0,96,3,1,2.0,1,Կենտրոն,350000.0
2,1,18,4,3.0,74,2,1,0.0,2,Դավթաշեն,117000.0
2,0,12,12,2.8,68,3,1,2.0,1,Արաբկիր,127000.0
1,0,9,4,2.75,41,2,1,2.0,0,Մալաթիա-Սեբաստիա,72500.0
2,0,14,4,2.8,95,3,1,2.0,2,Արաբկիր,220000.0
2,1,5,3,3.0,50,2,1,2.0,2,Դավթաշեն,95000.0
0,0,5,4,2.75,67,2,1,2.0,2,Աջափնյակ,92000.0
2,1,13,12,3.0,120,3,2,2.0,2,Կենտրոն,420000.0
2,1,14,14,3.0,88,3,2,2.0,3,Քանաքեռ-Զեյթուն,205000.0
1,0,5,4,2.8,50,2,1,0.5,0,Արաբկիր,67000.0
0,1,14,10,2.75,52,2,1,3.0,0,Կենտրոն,175000.0
0,0,5,4,2.8,100,4,1,2.0,1,Էրեբունի,155000.0
1,0,16,6,2.8,101,3,1,1.5,2,Շենգավիթ,115000.0
1,0,9,6,2.8,80,3,1,1.0,0,Մալաթիա-Սեբաստիա,85000.0
2,1,19,11,3.0,68,3,2,2.0,2,Շենգավիթ,179000.0
0,0,5,1,2.8,78,3,1,1.5,0,Նոր Նորք,115000.0
2,1,10,8,3.0,64,2,1,0.0,2,Մալաթիա-Սեբաստիա,89000.0
2,1,10,10,2.8,42,2,1,3.0,1,Աջափնյակ,80000.0
2,1,18,10,3.0,110,3,2,4.0,2,Կենտրոն,190000.0
1,0,14,6,2.75,83,3,1,2.0,1,Դավթաշեն,170000.0
0,0,5,2,3.0,40,2,1,2.0,2,Արաբկիր,130000.0
0,0,5,1,2.8,125,4,2,3.0,2,Նոր Նորք,98000.0
2,1,19,9,3.0,62,2,1,2.0,1,Կենտրոն,370000.0
2,1,19,13,3.0,89,3,2,4.0,1,Կենտրոն,549000.0
2,0,9,9,2.75,39,2,1,3.0,1,Նոր Նորք,70000.0
2,1,12,8,2.8,45,1,1,3.0,0,Աջափնյակ,68000.0
1,0,14,1,2.75,120,4,1,2.0,3,Աջափնյակ,137000.0
0,0,5,3,3.0,52,2,1,3.0,0,Աջափնյակ,97000.0
0,0,5,5,3.0,35,2,1,2.0,1,Կենտրոն,125000.0
2,1,6,6,3.0,64,2,1,0.0,2,Արաբկիր,115000.0
1,0,9,9,2.8,96,3,1,3.0,3,Դավթաշեն,142000.0
0,0,4,1,2.8,32,1,1,3.0,1,Աջափնյակ,60000.0
1,0,9,6,2.8,81,4,2,0.5,0,Էրեբունի,102000.0
1,0,9,7,2.75,67,2,1,1.5,0,Ավան,85000.0
1,0,12,8,2.75,89,3,2,1.5,3,Նոր Նորք,105000.0
2,1,12,3,3.0,68,3,2,2.0,2,Արաբկիր,132000.0
2,0,9,9,2.75,39,2,1,3.0,1,Նոր Նորք,68000.0
1,0,14,1,2.75,45,1,1,0.5,1,Դավթաշեն,70000.0
2,0,17,16,3.2,80,3,2,2.0,3,Աջափնյակ,97000.0
1,0,16,4,2.75,105,3,1,2.0,0,Կենտրոն,165000.0
1,0,11,9,2.75,91,3,1,2.0,2,Կենտրոն,255000.0
1,0,14,10,2.8,110,4,2,2.0,0,Դավթաշեն,140000.0
0,0,5,4,3.2,78,2,1,0.5,0,Արաբկիր,133000.0
2,1,12,11,3.0,75,3,1,2.0,2,Արաբկիր,147000.0
2,1,20,11,3.0,42,1,1,2.0,1,Արաբկիր,115000.0
1,0,16,13,2.75,88,3,1,1.5,0,Աջափնյակ,78000.0
1,0,10,5,2.75,48,2,1,1.0,0,Կենտրոն,125000.0
0,0,4,3,2.75,81,4,1,3.0,1,Կենտրոն,185000.0
0,0,5,5,2.8,50,2,2,0.5,0,Շենգավիթ,62000.0
1,0,9,2,2.7,54,2,1,1.5,1,Մալաթիա-Սեբաստիա,87000.0
2,1,18,12,3.0,93,3,1,2.0,2,Դավթաշեն,350000.0
1,0,5,2,2.75,32,1,1,0.5,2,Նոր Նորք,49000.0
2,1,8,5,3.0,85,3,2,3.0,2,Արաբկիր,220000.0
2,1,16,12,3.0,74,3,1,0.0,2,Ավան,150000.0
2,0,14,3,2.75,80,3,1,1.0,0,Մալաթիա-Սեբաստիա,85000.0
2,1,17,15,3.0,72,3,1,2.0,2,Մալաթիա-Սեբաստիա,153000.0
