Price,Type,New_building,nFloor,Floor,Height,Sqm,Rooms,Bathrooms,Renovation,Balcony,Currency,District
113000.0,Պանելային,Ոչ,16,2,2.75,100,4,2,Եվրովերանորոգված,Փակ պատշգամբ,$,Աջափնյակ
56500.0,Պանելային,Ոչ,5,1,2.75,31,1,1,Մասնակի վերանորոգում,Առանց պատշգամբ,$,Նոր Նորք
59000.0,Քարե,Ոչ,5,2,2.75,30,1,1,Մասնակի վերանորոգում,Առանց պատշգամբ,$,Շենգավիթ
110000.0,Քարե,Ոչ,5,5,2.75,70,3,1,Կոսմետիկ վերանորոգում,Մի քանի պատշգամբ,$,Արաբկիր
89000.0,Պանելային,Ոչ,9,1,2.75,80,3,2,Մասնակի վերանորոգում,Փակ պատշգամբ,$,Մալաթիա-Սեբաստիա
147000.0,Մոնոլիտ,Այո,17,7,3.0,73,2,1,Եվրովերանորոգված,Բաց պատշգամբ,$,Մալաթիա-Սեբաստիա
111000.0,Քարե,Ոչ,5,2,2.7,63,3,1,Մասնակի վերանորոգում,Բաց պատշգամբ,$,Արաբկիր
83000.0,Քարե,Ոչ,5,1,2.8,51,3,1,Եվրովերանորոգված,Առանց պատշգամբ,$,Էրեբունի
110000.0,Պանելային,Ոչ,9,5,2.8,80,3,1,Կապիտալ վերանորոգված,Փակ պատշգամբ,$,Նոր Նորք
99000.0,Քարե,Ոչ,5,3,2.75,85,3,1,Հին վերանորոգում,Մի քանի պատշգամբ,$,Էրեբունի
1100000.0,Մոնոլիտ,Այո,22,8,3.0,191,4,1,Դիզայներական ոճով վերանորոգված,Բաց պատշգամբ,$,Կենտրոն
204000.0,Պանելային,Ոչ,9,8,3.0,86,3,1,Հին վերանորոգում,Բաց պատշգամբ,$,Կենտրոն
97000.0,Պանելային,Ոչ,9,1,2.75,75,3,1,Մասնակի վերանորոգում,Փակ պատշգամբ,$,Նոր Նորք
143000.0,Մոնոլիտ,Այո,12,10,3.0,58,2,1,Դիզայներական ոճով վերանորոգված,Բաց պատշգամբ,$,Արաբկիր
210000.0,Մոնոլիտ,Այո,18,17,3.0,74,3,1,Կապիտալ վերանորոգված,Բաց պատշգամբ,$,Արաբկիր
115000.0,Պանելային,Ոչ,9,8,2.75,83,3,1,Կապիտալ վերանորոգված,Մի քանի պատշգամբ,$,Մալաթիա-Սեբաստիա
84000.0,Պանելային,Ոչ,9,5,2.75,75,3,2,Մասնակի վերանորոգում,Փակ պատշգամբ,$,Մալաթիա-Սեբաստիա
210000.0,Պանելային,Ոչ,11,9,2.8,65,3,1,Եվրովերանորոգված,Փակ պատշգամբ,$,Կենտրոն
490000.0,Մոնոլիտ,Այո,14,4,3.0,197,3,2,Կապիտալ վերանորոգված,Բաց պատշգամբ,$,Արաբկիր
69000.0,Մոնոլիտ,Այո,12,9,2.75,41,1,1,Կապիտալ վերանորոգված,Առանց պատշգամբ,$,Աջափնյակ
400000.0,Մոնոլիտ,Այո,13,3,3.0,102,4,1,Կապիտալ վերանորոգված,Մի քանի պատշգամբ,$,Կենտրոն
300000.0,Քարե,Ոչ,4,4,3.5,130,4,1,Կոսմետիկ վերանորոգում,Մի քանի պատշգամբ,$,Կենտրոն
79900.0,Պանելային,Ոչ,9,1,2.8,77,3,1,Հին վերանորոգում,Փակ պատշգամբ,$,Շենգավիթ
285000.0,Պանելային,Ոչ,9,3,2.75,92,3,1,Եվրովերանորոգված,Բաց պատշգամբ,$,Կենտրոն
230000.0,Քարե,Ոչ,8,6,2.8,92,3,1,Կապիտալ վերանորոգված,Բաց պատշգամբ,$,Կենտրոն
98000.0,Պանելային,Ոչ,14,3,2.75,67,3,1,Եվրովերանորոգված,Փակ պատշգամբ,$,Մալաթիա-Սեբաստիա
150000.0,Պանելային,Ոչ,9,6,2.8,88,3,1,Մասնակի վերանորոգում,Բաց պատշգամբ,$,Կենտրոն
89000.0,Մոնոլիտ,Այո,13,8,2.8,59,2,1,Կապիտալ վերանորոգված,Փակ պատշգամբ,$,Աջափնյակ
480000.0,Քարե,Ոչ,5,5,3.2,161,5,2,Կապիտալ վերանորոգված,Բաց պատշգամբ,$,Կենտրոն
75000.0,Քարե,Ոչ,4,4,2.6,30,2,1,Եվրովերանորոգված,Բաց պատշգամբ,$,Արաբկիր
110000.0,Պանելային,Ոչ,9,7,2.75,93,4,1,Հին վերանորոգում,Փակ պատշգամբ,$,Շենգավիթ
160000.0,Պանելային,Ոչ,15,13,2.8,90,4,2,Կապիտալ վերանորոգված,Մի քանի պատշգամբ,$,Արաբկիր
290000.0,Մոնոլիտ,Այո,14,12,3.0,67,3,1,Կապիտալ վերանորոգված,Բաց պատշգամբ,$,Կենտրոն
88000.0,Պանելային,Ոչ,9,5,2.75,67,2,1,Կապիտալ վերանորոգված,Փակ պատշգամբ,$,Նոր Նորք
83000.0,Պանելային,Ոչ,9,3,2.8,67,2,2,Կոսմետիկ վերանորոգում,Փակ պատշգամբ,$,Մալաթիա-Սեբաստիա
77000.0,Պանելային,Ոչ,9,7,2.8,72,3,1,Հին վերանորոգում,Փակ պատշգամբ,$,Էրեբունի
148000.0,Պանելային,Ոչ,14,4,2.8,74,3,1,Կապիտալ վերանորոգված,Մի քանի պատշգամբ,$,Արաբկիր
450000.0,Մոնոլիտ,Այո,5,4,3.0,99,3,2,Դիզայներական ոճով վերանորոգված,Բաց պատշգամբ,$,Կենտրոն
105000.0,Քարե,Ոչ,5,2,3.2,40,2,1,Կապիտալ վերանորոգված,Առանց պատշգամբ,$,Արաբկիր
191000.0,Մոնոլիտ,Այո,18,10,3.0,66,2,1,Դիզայներական ոճով վերանորոգված,Բաց պատշգամբ,$,Շենգավիթ
68500000.0,Մոնոլիտ,Այո,19,11,3.0,67,2,1,Կապիտալ վերանորոգված,Բաց պատշգամբ,֏,Դավթաշեն
720000.0,Մոնոլիտ,Այո,13,9,3.0,175,4,2,Եվրովերանորոգված,Մի քանի պատշգամբ,$,Կենտրոն
230000.0,Քարե,Ոչ,5,3,3.0,74,3,1,Կոսմետիկ վերանորոգում,Փակ պատշգամբ,$,Կենտրոն
89000.0,Քարե,Ոչ,5,2,2.8,48,2,1,Եվրովերանորոգված,Առանց պատշգամբ,$,Արաբկիր
175000.0,Քարե,Ոչ,5,5,3.2,63,3,1,Կապիտալ վերանորոգված,Բաց պատշգամբ,$,Կենտրոն
